bin,n,mean_pred,actual_rate,pred_vs_actual_gap
0,7944,0.004908860782263507,0.006419939577039275,-0.0015110787947757685
1,7943,0.015897749687343407,0.01825506735490369,-0.0023573176675602825
2,7943,0.025140367002146995,0.029585798816568046,-0.004445431814421051
3,7943,0.038187357680839154,0.04645599899282387,-0.008268641311984716
4,7943,0.05777926117096157,0.06861387385118972,-0.010834612680228152
5,7943,0.08342171317968143,0.0959335263754249,-0.012511813195743474
6,7943,0.11423857761100223,0.12551932519199294,-0.011280747580990708
7,7943,0.14772980370833724,0.1644215032103739,-0.016691699502036667
8,7943,0.18804067928733448,0.19148936170212766,-0.0034486824147931805
9,7944,0.3363227459217467,0.33648036253776437,-0.00015761661601765287
