feature,gain
distance_ft,78580.68244099617
empty_net,40390.83380866051
angle_deg,19672.836320400238
shooter_prior_pct,15038.495271205902
distance_from_last_event_ft,14269.560338973999
seconds_since_last_event,13034.025460362434
seconds_remaining_in_period,12255.754854679108
game_seconds,10394.549617648125
y_norm,9772.240240693092
shot_type,8764.750318527222
x_norm,8077.151190519333
strength_state,7004.659280896187
last_event_type,4042.6141901016235
score_diff,2815.067955493927
is_rebound,1052.4762454032898
is_rush,185.5680102109909
period_num,180.98608136177063
