feature,gain
distance_ft,76758.99568867683
empty_net,40274.9780664444
angle_deg,17907.552690029144
distance_from_last_event_ft,12247.407715559006
seconds_since_last_event,11178.113644480705
seconds_remaining_in_period,10831.317164301872
strength_state,9003.156995177269
y_norm,8718.769987821579
shot_type,8594.736891627312
x_norm,6865.485528230667
last_event_type,3367.9788026809692
score_diff,2357.029380083084
period_num,1760.1351981163025
is_rebound,1095.9998712539673
is_rush,134.2320101261139
